,prog_name,bug_type,bug_consequence,bug_impact,exp_name,correct_ratio,prompt,model,available,stable
254,kth,variable assign fault,runtime error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
255,lcs_length,indexing fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
256,levenshtein,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
257,lis,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
258,longest_common_subsequence,indexing fault,output error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
259,max_sublist_sum,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
260,mergesort,condition fault,infinite loop error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
261,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
262,next_palindrome,variable assign fault,format error,edge-case impact,claude-python-with_location,0.6666666666666666,with_location,Claude,1,0
263,next_permutation,condition fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
264,pascal,indexing fault,runtime error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
265,possible_change,condition fault,runtime error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
266,powerset,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
267,quicksort,condition fault,output error,edge-case impact,claude-python-with_location,0.6666666666666666,with_location,Claude,1,0
268,reverse_linked_list,variable assign missing fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
269,rpn_eval,variable assign fault,output error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
270,shortest_path_length,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
271,shortest_path_lengths,indexing fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
272,shortest_paths,variable misuse fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
273,shunting_yard,variable assign missing fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
274,sieve,condition fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
275,sqrt,condition fault,infinite loop error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
276,subsequences,variable assign fault,output error,edge-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
277,to_base,variable assign fault,output error,base-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
278,topological_ordering,condition fault,output error,all-case impact,claude-python-with_location,1.0,with_location,Claude,1,1
279,wrap,variable assign missing fault,format error,all-case impact,claude-python-with_location,0.0,with_location,Claude,0,0
280,bitcount,variable assign fault,infinite loop error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
281,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
282,bucketsort,variable misuse fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
283,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt4-python-with_lib,0.3333333333333333,with_lib,GPT-4,1,0
284,detect_cycle,condition fault,runtime error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
285,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
286,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
287,flatten,variable misuse fault,format error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
288,gcd,variable misuse fault,infinite loop error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
289,get_factors,variable assign fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
290,hanoi,variable misuse fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
291,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
292,kheapsort,indexing fault,output error,base-case impact,gpt4-python-with_lib,0.6666666666666666,with_lib,GPT-4,1,0
293,knapsack,condition fault,output error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
294,kth,variable assign fault,runtime error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
295,lcs_length,indexing fault,output error,base-case impact,gpt4-python-with_lib,0.0,with_lib,GPT-4,0,0
296,levenshtein,variable assign fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
297,lis,variable assign fault,output error,base-case impact,gpt4-python-with_lib,0.6666666666666666,with_lib,GPT-4,1,0
298,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
299,max_sublist_sum,variable assign fault,output error,base-case impact,gpt4-python-with_lib,0.0,with_lib,GPT-4,0,0
300,mergesort,condition fault,infinite loop error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
301,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
302,next_palindrome,variable assign fault,format error,edge-case impact,gpt4-python-with_lib,0.6666666666666666,with_lib,GPT-4,1,0
303,next_permutation,condition fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
304,pascal,indexing fault,runtime error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
305,possible_change,condition fault,runtime error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
306,powerset,variable assign fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
307,quicksort,condition fault,output error,edge-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
308,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
309,rpn_eval,variable assign fault,output error,edge-case impact,gpt4-python-with_lib,0.6666666666666666,with_lib,GPT-4,1,0
310,shortest_path_length,variable assign fault,output error,base-case impact,gpt4-python-with_lib,0.0,with_lib,GPT-4,0,0
311,shortest_path_lengths,indexing fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
312,shortest_paths,variable misuse fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
313,shunting_yard,variable assign missing fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
314,sieve,condition fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
315,sqrt,condition fault,infinite loop error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
316,subsequences,variable assign fault,output error,edge-case impact,gpt4-python-with_lib,0.0,with_lib,GPT-4,0,0
317,to_base,variable assign fault,output error,base-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
318,topological_ordering,condition fault,output error,all-case impact,gpt4-python-with_lib,1.0,with_lib,GPT-4,1,1
319,wrap,variable assign missing fault,format error,all-case impact,gpt4-python-with_lib,0.0,with_lib,GPT-4,0,0
320,bitcount,variable assign fault,infinite loop error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
321,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
322,bucketsort,variable misuse fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
323,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
324,detect_cycle,condition fault,runtime error,edge-case impact,gpt35-python-basic,0.6666666666666666,basic,GPT-3.5,1,0
325,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
326,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
327,flatten,variable misuse fault,format error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
328,gcd,variable misuse fault,infinite loop error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
329,get_factors,variable assign fault,output error,base-case impact,gpt35-python-basic,0.0,basic,GPT-3.5,0,0
330,hanoi,variable misuse fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
331,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
332,kheapsort,indexing fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
333,knapsack,condition fault,output error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
334,kth,variable assign fault,runtime error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
335,lcs_length,indexing fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
336,levenshtein,variable assign fault,output error,base-case impact,gpt35-python-basic,0.6666666666666666,basic,GPT-3.5,1,0
337,lis,variable assign fault,output error,base-case impact,gpt35-python-basic,0.0,basic,GPT-3.5,0,0
338,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
339,max_sublist_sum,variable assign fault,output error,base-case impact,gpt35-python-basic,0.0,basic,GPT-3.5,0,0
340,mergesort,condition fault,infinite loop error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
341,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
342,next_palindrome,variable assign fault,format error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
343,next_permutation,condition fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
344,pascal,indexing fault,runtime error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
345,possible_change,condition fault,runtime error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
346,powerset,variable assign fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
347,quicksort,condition fault,output error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
348,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt35-python-basic,0.6666666666666666,basic,GPT-3.5,1,0
349,rpn_eval,variable assign fault,output error,edge-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
350,shortest_path_length,variable assign fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
351,shortest_path_lengths,indexing fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
352,shortest_paths,variable misuse fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
353,shunting_yard,variable assign missing fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
354,sieve,condition fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
355,sqrt,condition fault,infinite loop error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
356,subsequences,variable assign fault,output error,edge-case impact,gpt35-python-basic,0.0,basic,GPT-3.5,0,0
357,to_base,variable assign fault,output error,base-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
358,topological_ordering,condition fault,output error,all-case impact,gpt35-python-basic,1.0,basic,GPT-3.5,1,1
359,wrap,variable assign missing fault,format error,all-case impact,gpt35-python-basic,0.0,basic,GPT-3.5,0,0
360,bitcount,variable assign fault,infinite loop error,all-case impact,claude-python-with_lib,0.6666666666666666,with_lib,Claude,1,0
361,breadth_first_search,condition fault,infinite loop error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
362,bucketsort,variable misuse fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
363,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
364,detect_cycle,condition fault,runtime error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
365,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,claude-python-with_lib,0.0,with_lib,Claude,0,0
366,find_in_sorted,indexing fault,infinite loop error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
367,flatten,variable misuse fault,format error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
368,gcd,variable misuse fault,infinite loop error,base-case impact,claude-python-with_lib,0.3333333333333333,with_lib,Claude,1,0
369,get_factors,variable assign fault,output error,base-case impact,claude-python-with_lib,0.3333333333333333,with_lib,Claude,1,0
370,hanoi,variable misuse fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
371,is_valid_parenthesization,variable assign fault,output error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
372,kheapsort,indexing fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
373,knapsack,condition fault,output error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
374,kth,variable assign fault,runtime error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
375,lcs_length,indexing fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
376,levenshtein,variable assign fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
377,lis,variable assign fault,output error,base-case impact,claude-python-with_lib,0.6666666666666666,with_lib,Claude,1,0
378,longest_common_subsequence,indexing fault,output error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
379,max_sublist_sum,variable assign fault,output error,base-case impact,claude-python-with_lib,0.0,with_lib,Claude,0,0
380,mergesort,condition fault,infinite loop error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
381,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
382,next_palindrome,variable assign fault,format error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
383,next_permutation,condition fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
384,pascal,indexing fault,runtime error,base-case impact,claude-python-with_lib,0.0,with_lib,Claude,0,0
385,possible_change,condition fault,runtime error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
386,powerset,variable assign fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
387,quicksort,condition fault,output error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
388,reverse_linked_list,variable assign missing fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
389,rpn_eval,variable assign fault,output error,edge-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
390,shortest_path_length,variable assign fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
391,shortest_path_lengths,indexing fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
392,shortest_paths,variable misuse fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
393,shunting_yard,variable assign missing fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
394,sieve,condition fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
395,sqrt,condition fault,infinite loop error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
396,subsequences,variable assign fault,output error,edge-case impact,claude-python-with_lib,0.0,with_lib,Claude,0,0
397,to_base,variable assign fault,output error,base-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
398,topological_ordering,condition fault,output error,all-case impact,claude-python-with_lib,1.0,with_lib,Claude,1,1
399,wrap,variable assign missing fault,format error,all-case impact,claude-python-with_lib,0.0,with_lib,Claude,0,0
400,bitcount,variable assign fault,infinite loop error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
401,breadth_first_search,condition fault,infinite loop error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
402,bucketsort,variable misuse fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
403,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
404,detect_cycle,condition fault,runtime error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
405,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
406,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
407,flatten,variable misuse fault,format error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
408,gcd,variable misuse fault,infinite loop error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
409,get_factors,variable assign fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
410,hanoi,variable misuse fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
411,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
412,kheapsort,indexing fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
413,knapsack,condition fault,output error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
414,kth,variable assign fault,runtime error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
415,lcs_length,indexing fault,output error,base-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
416,levenshtein,variable assign fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
417,lis,variable assign fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
418,longest_common_subsequence,indexing fault,output error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
419,max_sublist_sum,variable assign fault,output error,base-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
420,mergesort,condition fault,infinite loop error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
421,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
422,next_palindrome,variable assign fault,format error,edge-case impact,gpt4-python-basic,0.3333333333333333,basic,GPT-4,1,0
423,next_permutation,condition fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
424,pascal,indexing fault,runtime error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
425,possible_change,condition fault,runtime error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
426,powerset,variable assign fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
427,quicksort,condition fault,output error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
428,reverse_linked_list,variable assign missing fault,output error,all-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
429,rpn_eval,variable assign fault,output error,edge-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
430,shortest_path_length,variable assign fault,output error,base-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
431,shortest_path_lengths,indexing fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
432,shortest_paths,variable misuse fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
433,shunting_yard,variable assign missing fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
434,sieve,condition fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
435,sqrt,condition fault,infinite loop error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
436,subsequences,variable assign fault,output error,edge-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
437,to_base,variable assign fault,output error,base-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
438,topological_ordering,condition fault,output error,all-case impact,gpt4-python-basic,1.0,basic,GPT-4,1,1
439,wrap,variable assign missing fault,format error,all-case impact,gpt4-python-basic,0.0,basic,GPT-4,0,0
440,bitcount,variable assign fault,infinite loop error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
441,breadth_first_search,condition fault,infinite loop error,edge-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
442,bucketsort,variable misuse fault,output error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
443,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
444,detect_cycle,condition fault,runtime error,edge-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
445,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
446,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
447,flatten,variable misuse fault,format error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
448,gcd,variable misuse fault,infinite loop error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
449,get_factors,variable assign fault,output error,base-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
450,hanoi,variable misuse fault,output error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
451,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
452,kheapsort,indexing fault,output error,base-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
453,knapsack,condition fault,output error,edge-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
454,kth,variable assign fault,runtime error,base-case impact,gemini-python-basic,0.3333333333333333,basic,Gemini,1,0
455,lcs_length,indexing fault,output error,base-case impact,gemini-python-basic,0.3333333333333333,basic,Gemini,1,0
456,levenshtein,variable assign fault,output error,base-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
457,lis,variable assign fault,output error,base-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
458,longest_common_subsequence,indexing fault,output error,edge-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
459,max_sublist_sum,variable assign fault,output error,base-case impact,gemini-python-basic,0.3333333333333333,basic,Gemini,1,0
460,mergesort,condition fault,infinite loop error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
461,minimum_spanning_tree,variable misuse fault,runtime error,all-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
462,next_palindrome,variable assign fault,format error,edge-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
463,next_permutation,condition fault,output error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
464,pascal,indexing fault,runtime error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
465,possible_change,condition fault,runtime error,edge-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
466,powerset,variable assign fault,output error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
467,quicksort,condition fault,output error,edge-case impact,gemini-python-basic,0.6666666666666666,basic,Gemini,1,0
468,reverse_linked_list,variable assign missing fault,output error,all-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
469,rpn_eval,variable assign fault,output error,edge-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
470,shortest_path_length,variable assign fault,output error,base-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
471,shortest_path_lengths,indexing fault,output error,all-case impact,gemini-python-basic,0.3333333333333333,basic,Gemini,1,0
472,shortest_paths,variable misuse fault,output error,all-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
473,shunting_yard,variable assign missing fault,output error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
474,sieve,condition fault,output error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
475,sqrt,condition fault,infinite loop error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
476,subsequences,variable assign fault,output error,edge-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
477,to_base,variable assign fault,output error,base-case impact,gemini-python-basic,1.0,basic,Gemini,1,1
478,topological_ordering,condition fault,output error,all-case impact,gemini-python-basic,0.3333333333333333,basic,Gemini,1,0
479,wrap,variable assign missing fault,format error,all-case impact,gemini-python-basic,0.0,basic,Gemini,0,0
